5	1	1	8	2.9375
5	1	2	9	4.5
5	1	3	10	4.0
5	2	1	11	5.0
5	2	2	10	5.0
5	2	3	11	5.0
6	1	1	7	2.71875
6	1	2	17	6.15625
6	1	3	12	4.875
6	2	1	13	6.0
6	2	2	10	6.0
6	2	3	11	6.0
7	1	1	9	3.53125
7	1	2	14	6.921875
7	1	3	13	6.296875
7	2	1	15	7.0
7	2	2	14	7.0
7	2	3	13	7.0
8	1	1	10	4.15625
8	1	2	16	7.84375
8	1	3	13	6.8125
8	2	1	17	8.0
8	2	2	14	8.0
8	2	3	14	8.0
9	1	1	12	4.484375
9	1	2	20	9.0546875
9	1	3	18	7.55859375
9	2	1	19	9.0
9	2	2	16	9.0
9	2	3	15	9.0
10	1	1	12	4.974609375
10	1	2	20	9.912109375
10	1	3	17	8.60546875
10	2	1	21	10.0
10	2	2	17	10.0
10	2	3	17	10.0
11	1	1	14	5.5244140625
11	1	2	21	10.9296875
11	1	3	19	9.3984375
11	2	1	23	11.0
11	2	2	18	11.0
11	2	3	18	11.0
12	1	1	14	5.98486328125
12	1	2	23	12.0302734375
12	1	3	23	10.3896484375
12	2	1	25	12.0
12	2	2	19	12.0
12	2	3	24	12.0
13	1	1	15	6.52685546875
13	1	2	25	13.003662109375
13	1	3	23	11.252685546875
13	2	1	27	13.0
13	2	2	21	13.0
13	2	3	21	13.0
14	1	1	17	7.0054931640625
14	1	2	27	14.01611328125
14	1	3	25	12.1663818359375
14	2	1	29	14.0
14	2	2	22	14.0
14	2	3	25	14.0

